title,miles,location,price,url
2026 GMC 2500 SLE,7 Miles,"North Salt Lake, UT","$61,637",https://cars.ksl.com/listing/10376348
2026 GMC 2500 Pro,5 Miles,"North Salt Lake, UT","$53,429",https://cars.ksl.com/listing/10366839
2026 GMC 2500 Pro,5 Miles,"South Jordan, UT","$59,320",https://cars.ksl.com/listing/10366822
2022 GMC Sierra AT4,,,"$24,998",https://cars.ksl.com/listing/10376190
2022 GMC Sierra Denali,,,"$37,990",https://cars.ksl.com/listing/10279857
2022 GMC Sierra Denali,"46,041 Miles","Woods Cross, UT","$39,116",https://cars.ksl.com/listing/10358961
2025 Chevrolet Silverado 2500HD Work Truck,3 Miles,"Layton, UT","$73,278",https://cars.ksl.com/listing/10011423
2026 Chevrolet Silverado 2500HD Custom,,,"$56,985",https://cars.ksl.com/listing/10348836
2026 GMC 2500 Pro,17 Miles,"North Salt Lake, UT","$55,500",https://cars.ksl.com/listing/10189252
2022 GMC Sierra Denali,,,"$46,995",https://cars.ksl.com/listing/10349040
2022 GMC Sierra AT4,,,"$36,700",https://cars.ksl.com/listing/10326524
2025 Chevrolet Silverado 2500HD LTZ,,,"$53,000",https://cars.ksl.com/listing/10375787
2024 GMC 2500 AT4,,,"$69,990",https://cars.ksl.com/listing/10386616
2025 Chevrolet Silverado 2500HD LT,"9,701 Miles","American Fork, UT","$63,798",https://cars.ksl.com/listing/10389951
2022 Chevrolet Silverado 2500HD Custom,,,"$42,977",https://cars.ksl.com/listing/10347646
2024 Chevrolet Silverado 2500HD LTZ,"27,964 Miles","Brigham City, UT","$61,984",https://cars.ksl.com/listing/10397577
2022 GMC Sierra Denali,"34,284 Miles","Layton, UT","$40,990",https://cars.ksl.com/listing/10375573
2026 GMC 2500 Pro,5 Miles,"Salt Lake City, UT","$47,561",https://cars.ksl.com/listing/10408073
2026 Chevrolet Silverado 2500HD Custom,5 Miles,"Pocatello, ID","$55,740",https://cars.ksl.com/listing/10397240
2024 Chevrolet Silverado 2500HD LTZ,"49,000 Miles","Blackfoot, ID","$54,380",https://cars.ksl.com/listing/10386126
2026 GMC 2500 Pro,5 Miles,"South Jordan, UT","$61,055",https://cars.ksl.com/listing/10237031
2026 GMC 2500 Pro,5 Miles,"South Jordan, UT","$61,255",https://cars.ksl.com/listing/10237027
2024 GMC 2500 AT4,,,"$66,495",https://cars.ksl.com/listing/10088986
2022 GMC Sierra Elevation,"111,750 Miles","Tremonton, UT","$26,873",https://cars.ksl.com/listing/10407787
2024 Chevrolet Silverado 2500HD LT,,,"$48,298",https://cars.ksl.com/listing/10333276
2026 GMC 2500 SLE,5 Miles,"North Salt Lake, UT","$62,965",https://cars.ksl.com/listing/10293459
2022 GMC Sierra Elevation,"63,346 Miles","Twin Falls, ID","$33,999",https://cars.ksl.com/listing/10385695
2022 GMC Sierra AT4,"88,341 Miles","Orem, UT","$35,999",https://cars.ksl.com/listing/10407659
2012 Chevrolet Silverado 2500HD Work Truck,"116,490 Miles","Pocatello, ID","$17,995",https://cars.ksl.com/listing/10407428
2008 GMC 2500,"118,164 Miles","Pocatello, ID","$16,995",https://cars.ksl.com/listing/10407427
2011 Chevrolet Silverado 2500HD,"178,357 Miles","Sandy, UT","$12,995",https://cars.ksl.com/listing/10378509
2001 Chevrolet Silverado 2500HD Base,"100,755 Miles","American Fork, UT","$14,500",https://cars.ksl.com/listing/10406899
2026 GMC 2500 Pro,5 Miles,"South Jordan, UT","$61,255",https://cars.ksl.com/listing/10335641
2024 Chevrolet Silverado 2500HD LTZ,,,"$58,999",https://cars.ksl.com/listing/10331791
2002 Chevrolet Silverado 2500HD LT,,,"$18,995",https://cars.ksl.com/listing/10331604
2022 GMC Sierra SLE,,,"$32,990",https://cars.ksl.com/listing/10304150
2008 GMC 2500 Work Truck,"246,388 Miles","Hooper, UT","$5,000",https://cars.ksl.com/listing/10407179
2022 GMC Sierra Denali,"55,325 Miles","Orem, UT","$34,999",https://cars.ksl.com/listing/10342547
2024 GMC 2500 AT4,"8,048 Miles","Logan, UT","$69,107",https://cars.ksl.com/listing/10160542
2022 GMC Sierra Denali,"47,990 Miles","Draper, UT","$42,995",https://cars.ksl.com/listing/10350315
2023 Chevrolet Silverado 2500HD LT,"73,379 Miles","Salt Lake City, UT","$44,500",https://cars.ksl.com/listing/10346637
2020 Chevrolet Silverado 2500HD LT,"43,490 Miles","Boise, ID","$45,994",https://cars.ksl.com/listing/10357251
2020 GMC 2500 SLE,,,"$33,995",https://cars.ksl.com/listing/10364243
2026 GMC 2500 SLE,9 Miles,"Layton, UT","$55,491",https://cars.ksl.com/listing/10346501
2020 Chevrolet Silverado 2500HD LTZ,,,"$37,548",https://cars.ksl.com/listing/10321860
2023 Chevrolet Silverado 2500HD Custom,"52,892 Miles","Woods Cross, UT","$36,100",https://cars.ksl.com/listing/10357122
2026 Chevrolet Silverado 2500HD Work Truck,3 Miles,"Boise, ID","$52,130",https://cars.ksl.com/listing/10374256
2025 Chevrolet Silverado 2500HD Work Truck,3 Miles,"Boise, ID","$65,887",https://cars.ksl.com/listing/9817279
2025 Chevrolet Silverado 2500HD Work Truck,3 Miles,"Boise, ID","$65,887",https://cars.ksl.com/listing/9817277
2023 GMC 2500 Denali,,,"$62,496",https://cars.ksl.com/listing/10384321
2003 Chevrolet Silverado 2500HD LT,"161,555 Miles","Salt Lake City, UT","$12,432",https://cars.ksl.com/listing/10406446
2023 GMC 2500 SLE,"23,002 Miles","Draper, UT","$49,995",https://cars.ksl.com/listing/10400720
2026 Chevrolet Silverado 2500HD LT,10 Miles,"Layton, UT","$62,080",https://cars.ksl.com/listing/10395372
2022 GMC 2500 AT4,,,"$54,995",https://cars.ksl.com/listing/10364164
2002 Chevrolet Silverado 2500HD LT,,,"$18,995",https://cars.ksl.com/listing/10331604
2006 Chevrolet Silverado 2500HD LT,"132,250 Miles","Monroe, UT","$16,200",https://cars.ksl.com/listing/10406182
2005 Chevrolet Silverado 2500HD LT,"85,000 Miles","Price, UT","$12,000",https://cars.ksl.com/listing/10406121
2002 Chevrolet Silverado 2500HD LT,"150,000 Miles","Ogden, UT","$10,500",https://cars.ksl.com/listing/10406101
2023 Chevrolet Silverado 2500HD LT,"54,293 Miles","American Fork, UT","$41,995",https://cars.ksl.com/listing/10405701
2007 Chevrolet Silverado 2500HD LTZ,"151,000 Miles","Rexburg, ID","$12,000",https://cars.ksl.com/listing/10405619
2024 Chevrolet Silverado 2500HD Work Truck,"30,686 Miles","Draper, UT","$45,900",https://cars.ksl.com/listing/10361988
2024 GMC 2500 SLE,,,"$45,995",https://cars.ksl.com/listing/10355547
2026 Chevrolet Silverado 2500HD Custom,5 Miles,"South Jordan, UT","$59,695",https://cars.ksl.com/listing/10383098
2020 Chevrolet Silverado 2500HD LT,,,"$32,382",https://cars.ksl.com/listing/10150448
2013 GMC 2500 SLE,"188,041 Miles","Pocatello, ID","$13,900",https://cars.ksl.com/listing/10257492
2011 Chevrolet Silverado 2500HD LT,"123,689 Miles","American Fork, UT","$21,997",https://cars.ksl.com/listing/10393437
2022 Chevrolet Silverado 2500HD Custom,"32,820 Miles","Salt Lake City, UT","$42,977",https://cars.ksl.com/listing/10347646
2025 GMC 2500 Pro,3 Miles,"North Salt Lake, UT","$54,518",https://cars.ksl.com/listing/10234530
2022 GMC Sierra Denali,,,"$37,990",https://cars.ksl.com/listing/10279857
2021 Chevrolet Silverado 2500HD Work Truck,"104,540 Miles","Pocatello, ID","$29,995",https://cars.ksl.com/listing/10279792
2004 Chevrolet Silverado 2500HD LS,"55,029 Miles","Orem, UT","$31,995",https://cars.ksl.com/listing/10313074
2026 Chevrolet Silverado 2500HD ZR2,4 Miles,"Boise, ID","$71,825",https://cars.ksl.com/listing/10322531
2025 Chevrolet Silverado 2500HD Work Truck,,,"$72,700",https://cars.ksl.com/listing/9970126
2024 Chevrolet Silverado 2500HD LT,,,"$48,298",https://cars.ksl.com/listing/10333276
2022 GMC Sierra Denali,,,"$39,676",https://cars.ksl.com/listing/10367913
2024 Chevrolet Silverado 2500HD LT,"62,276 Miles","Woods Cross, UT","$51,811",https://cars.ksl.com/listing/10362821
2025 GMC 2500 Pro,5 Miles,"South Jordan, UT","$52,080",https://cars.ksl.com/listing/10404608
2020 Chevrolet Silverado 2500HD Work Truck,"143,914 Miles","Hurricane, UT","$25,795",https://cars.ksl.com/listing/10322222
2023 Chevrolet Silverado 2500HD Custom,"18,143 Miles","Elko, NV","$47,894",https://cars.ksl.com/listing/10372129
2020 Chevrolet Silverado 2500HD LTZ,,,"$37,548",https://cars.ksl.com/listing/10321860
2007 GMC 2500,1 Miles,"Layton, UT","$11,200",https://cars.ksl.com/listing/10404456
2024 Chevrolet Silverado 2500HD LT,"49,891 Miles","Provo, UT","$48,300",https://cars.ksl.com/listing/10173086
2026 GMC 2500 Pro,5 Miles,"South Jordan, UT","$61,255",https://cars.ksl.com/listing/10244534
2026 GMC 2500 Denali,6 Miles,"Salt Lake City, UT","$71,084",https://cars.ksl.com/listing/10172605
2022 GMC Sierra AT4,"88,341 Miles","Orem, UT","$35,999",https://cars.ksl.com/listing/10407659
2022 GMC 2500 SLE,,,"$36,992",https://cars.ksl.com/listing/10196319
2013 GMC 2500 Work Truck,"108,499 Miles","Twin Falls, ID","$23,999",https://cars.ksl.com/listing/10403984
2022 GMC 2500 SLE,"123,496 Miles","Idaho Falls, ID","$36,455",https://cars.ksl.com/listing/10244318
2026 GMC 2500 Denali,6 Miles,"Salt Lake City, UT","$72,072",https://cars.ksl.com/listing/10309648
2013 Chevrolet Silverado 2500HD LT,"184,000 Miles","Franklin, ID","$14,500",https://cars.ksl.com/listing/10403677
2023 Chevrolet Silverado 2500HD High Country,,,"$55,766",https://cars.ksl.com/listing/10343526
2026 GMC 2500 Pro,5 Miles,"South Jordan, UT","$59,750",https://cars.ksl.com/listing/10371114
2026 GMC 2500 Pro,5 Miles,"South Jordan, UT","$59,750",https://cars.ksl.com/listing/10371112
2026 GMC 2500 Pro,5 Miles,"South Jordan, UT","$59,320",https://cars.ksl.com/listing/10371111
2020 Chevrolet Silverado 2500HD LT,,,"$32,382",https://cars.ksl.com/listing/10150448
2026 GMC 2500 Pro,5 Miles,"South Jordan, UT","$59,750",https://cars.ksl.com/listing/10371110
2026 GMC 2500 Pro,5 Miles,"South Jordan, UT","$59,320",https://cars.ksl.com/listing/10371108
2002 Chevrolet Silverado 2500HD,"205,947 Miles","Clearfield, UT","$9,950",https://cars.ksl.com/listing/10371632
2026 Chevrolet Silverado 2500HD Custom,6 Miles,"Murray, UT","$59,170",https://cars.ksl.com/listing/10392317
2022 GMC 2500 Denali,"73,303 Miles","Pleasant Grove, UT","$38,990",https://cars.ksl.com/listing/9996927
2022 GMC 2500 SLT,"112,493 Miles","Blackfoot, ID","$36,756",https://cars.ksl.com/listing/10300178
2026 Chevrolet Silverado 2500HD Work Truck,6 Miles,"Salt Lake City, UT","$53,139",https://cars.ksl.com/listing/10403238
2026 Chevrolet Silverado 2500HD Work Truck,9 Miles,"Salt Lake City, UT","$51,773",https://cars.ksl.com/listing/10403233
2026 Chevrolet Silverado 2500HD Work Truck,12 Miles,"Salt Lake City, UT","$51,394",https://cars.ksl.com/listing/10403231
2022 GMC Sierra Denali,,,"$37,990",https://cars.ksl.com/listing/10279857
2026 Chevrolet Silverado 2500HD Work Truck,"Salt Lake City, UT",| 5 Days,"$54,303",https://cars.ksl.com/listing/10403228
2026 Chevrolet Silverado 2500HD Work Truck,12 Miles,"Salt Lake City, UT","$49,627",https://cars.ksl.com/listing/10403227
2026 Chevrolet Silverado 2500HD Work Truck,6 Miles,"Salt Lake City, UT","$53,139",https://cars.ksl.com/listing/10403226
2026 Chevrolet Silverado 2500HD Work Truck,3 Miles,"Salt Lake City, UT","$50,922",https://cars.ksl.com/listing/10403224
2025 Chevrolet Silverado 2500HD Work Truck,12 Miles,"Salt Lake City, UT","$48,066",https://cars.ksl.com/listing/10403223
2026 Chevrolet Silverado 2500HD Work Truck,5 Miles,"Salt Lake City, UT","$54,303",https://cars.ksl.com/listing/10403218
2026 Chevrolet Silverado 2500HD Work Truck,5 Miles,"Salt Lake City, UT","$53,139",https://cars.ksl.com/listing/10403217
2026 Chevrolet Silverado 2500HD Work Truck,6 Miles,"Salt Lake City, UT","$54,303",https://cars.ksl.com/listing/10403213
2026 Chevrolet Silverado 2500HD Custom,6 Miles,"Salt Lake City, UT","$55,037",https://cars.ksl.com/listing/10403212
2024 Chevrolet Silverado 2500HD LT,,,"$48,300",https://cars.ksl.com/listing/10173086
2026 Chevrolet Silverado 2500HD Work Truck,5 Miles,"Salt Lake City, UT","$51,394",https://cars.ksl.com/listing/10403211
2026 Chevrolet Silverado 2500HD Work Truck,5 Miles,"Salt Lake City, UT","$54,303",https://cars.ksl.com/listing/10403210
2026 Chevrolet Silverado 2500HD Work Truck,6 Miles,"Salt Lake City, UT","$54,303",https://cars.ksl.com/listing/10403209
2026 Chevrolet Silverado 2500HD Work Truck,1 Miles,"Salt Lake City, UT","$49,627",https://cars.ksl.com/listing/10403208
2026 Chevrolet Silverado 2500HD Work Truck,4 Miles,"Salt Lake City, UT","$54,303",https://cars.ksl.com/listing/10403204
2024 GMC 2500 AT4,"15,614 Miles","Heber City, UT","$64,400",https://cars.ksl.com/listing/10359157
2002 Chevrolet Silverado 2500HD LT,,,"$18,995",https://cars.ksl.com/listing/10331604
2026 GMC 2500 SLE,6 Miles,"North Salt Lake, UT","$62,095",https://cars.ksl.com/listing/10194765
2022 GMC Sierra AT4,,,"$39,995",https://cars.ksl.com/listing/10361408
2004 Chevrolet Silverado 2500HD LS,"55,029 Miles","Orem, UT","$31,995",https://cars.ksl.com/listing/10313074
2021 GMC 2500 SLT,"114,016 Miles","Idaho Falls, ID","$41,999",https://cars.ksl.com/listing/10392164
2022 GMC 2500 SLE,"15,354 Miles","Springville, UT","$48,695",https://cars.ksl.com/listing/10402863
2026 Chevrolet Silverado 2500HD Custom,5 Miles,"South Jordan, UT","$54,988",https://cars.ksl.com/listing/10242201
2012 Chevrolet Silverado 2500HD Work Truck,"151,352 Miles","Ogden, UT","$13,995",https://cars.ksl.com/listing/10402224
2024 GMC 2500 SLE,,,"$52,974",https://cars.ksl.com/listing/10360527
2026 GMC 2500 Pro,6 Miles,"South Jordan, UT","$58,808",https://cars.ksl.com/listing/10352752
2026 GMC 2500 Pro,6 Miles,"South Jordan, UT","$58,808",https://cars.ksl.com/listing/10352751
2018 GMC 2500 SLE,"112,066 Miles","Sandy, UT","$21,990",https://cars.ksl.com/listing/10401762
2003 Chevrolet Silverado 2500HD LT,,,"$23,495",https://cars.ksl.com/listing/10298320
2024 Chevrolet Silverado 2500HD LT,,,"$48,300",https://cars.ksl.com/listing/10173086
2003 Chevrolet Silverado 2500HD LT,"144,743 Miles","West Jordan, UT","$13,000",https://cars.ksl.com/listing/10401623
2026 Chevrolet Silverado 2500HD LT,10 Miles,"Salt Lake City, UT","$58,393",https://cars.ksl.com/listing/10309638
2021 Chevrolet Silverado 2500HD LT,"128,117 Miles","Salt Lake City, UT","$31,500",https://cars.ksl.com/listing/10309634
2026 GMC 2500 Pro,6 Miles,"North Salt Lake, UT","$53,429",https://cars.ksl.com/listing/10369500
2013 Chevrolet Silverado 2500HD Work Truck,"73,143 Miles","Millcreek, UT","$19,990",https://cars.ksl.com/listing/10378239
2024 Chevrolet Silverado 2500HD Work Truck,"38,640 Miles","Windsor, CO","$38,100",https://cars.ksl.com/listing/10206329
